Language,Implementation,N,Run,Time (s),Memory (KB),solutions,nodes_visited,backtracks,pruned_paths,explored_placements
C++,Standard,9,1,0.01018611300014527,89364,352,8394,8393,63985,
C++,Standard,9,2,0.013004727999941679,89364,352,8394,8393,63985,
C++,Standard,9,3,0.012996552999993582,89364,352,8394,8393,63985,
C++,Standard,9,4,0.012353136000001541,89364,352,8394,8393,63985,
C++,Standard,9,5,0.021081839999624208,89364,352,8394,8393,63985,
C++,Standard,9,6,0.016841505000229517,89364,352,8394,8393,63985,
C++,Standard,9,7,0.016536047000045073,89364,352,8394,8393,63985,
C++,Standard,9,8,0.015882760000295093,89364,352,8394,8393,63985,
C++,Standard,9,9,0.015544403000149032,89364,352,8394,8393,63985,
C++,Standard,9,10,0.015351297000052,89364,352,8394,8393,63985,
C++,Standard,10,1,0.015015632000086043,89364,724,35539,35538,312612,
C++,Standard,10,2,0.01573302099995999,89364,724,35539,35538,312612,
C++,Standard,10,3,0.019606586000008974,89364,724,35539,35538,312612,
C++,Standard,10,4,0.019622736000201257,89364,724,35539,35538,312612,
C++,Standard,10,5,0.01791410099986024,89364,724,35539,35538,312612,
C++,Standard,10,6,0.01934239999991405,89364,724,35539,35538,312612,
C++,Standard,10,7,0.020872185999905923,89364,724,35539,35538,312612,
C++,Standard,10,8,0.019577674999709416,89364,724,35539,35538,312612,
C++,Standard,10,9,0.021510119999675226,89364,724,35539,35538,312612,
C++,Standard,10,10,0.018181277999701706,89364,724,35539,35538,312612,
C++,Standard,11,1,0.028192130000206816,89364,2680,166926,166925,1639781,
C++,Standard,11,2,0.028253740999844013,89364,2680,166926,166925,1639781,
C++,Standard,11,3,0.027494878999732464,89364,2680,166926,166925,1639781,
C++,Standard,11,4,0.029447064000123646,89364,2680,166926,166925,1639781,
C++,Standard,11,5,0.03134521500032861,89364,2680,166926,166925,1639781,
C++,Standard,11,6,0.0311628770000425,89364,2680,166926,166925,1639781,
C++,Standard,11,7,0.029643857000337448,89364,2680,166926,166925,1639781,
C++,Standard,11,8,0.029907744999945862,89364,2680,166926,166925,1639781,
C++,Standard,11,9,0.031224786000166205,89364,2680,166926,166925,1639781,
C++,Standard,11,10,0.02962112699970021,89364,2680,166926,166925,1639781,
C++,Standard,12,1,0.10590965699975641,89364,14200,856189,856188,9247680,
C++,Standard,12,2,0.10748948999980712,89364,14200,856189,856188,9247680,
C++,Standard,12,3,0.10112173600009555,89364,14200,856189,856188,9247680,
C++,Standard,12,4,0.09013447200004521,89364,14200,856189,856188,9247680,
C++,Standard,12,5,0.0865704719999485,89364,14200,856189,856188,9247680,
C++,Standard,12,6,0.0841069879998031,89364,14200,856189,856188,9247680,
C++,Standard,12,7,0.0832572539998182,89364,14200,856189,856188,9247680,
C++,Standard,12,8,0.08288506500002768,89364,14200,856189,856188,9247680,
C++,Standard,12,9,0.08202635899988309,89364,14200,856189,856188,9247680,
C++,Standard,12,10,0.0823375460004172,89364,14200,856189,856188,9247680,
Java,Standard,4,1,0.10015516199973717,89364,2,17,16,44,
Java,Standard,4,2,0.07477695099987614,89364,2,17,16,44,
Java,Standard,4,3,0.07545952999998917,89364,2,17,16,44,
Java,Standard,4,4,0.07913486899997224,89364,2,17,16,44,
Java,Standard,4,5,0.08146878700017623,89364,2,17,16,44,
Java,Standard,4,6,0.21418075400015368,89364,2,17,16,44,
Java,Standard,4,7,0.07788783300020441,89364,2,17,16,44,
Java,Standard,4,8,0.07567706199961322,89364,2,17,16,44,
Java,Standard,4,9,0.08570560799989835,89364,2,17,16,44,
Java,Standard,4,10,0.11660806200006846,89364,2,17,16,44,
Java,Standard,5,1,0.07212525900013134,89364,10,54,53,167,
Java,Standard,5,2,0.07810927999980777,89364,10,54,53,167,
Java,Standard,5,3,0.07360890600011771,89364,10,54,53,167,
Java,Standard,5,4,0.08210497099980785,89364,10,54,53,167,
Java,Standard,5,5,0.09048522900002354,89364,10,54,53,167,
Java,Standard,5,6,0.08727756600001157,89364,10,54,53,167,
Java,Standard,5,7,0.08007208200024252,89364,10,54,53,167,
Java,Standard,5,8,0.08002963299986732,89364,10,54,53,167,
Java,Standard,5,9,0.07862560099965776,89364,10,54,53,167,
Java,Standard,5,10,0.07572924900023281,89364,10,54,53,167,
Java,Standard,6,1,0.08292080199998964,89364,4,153,152,742,
Java,Standard,6,2,0.08540341900015846,89364,4,153,152,742,
Java,Standard,6,3,0.08006191900039994,89364,4,153,152,742,
Java,Standard,6,4,0.074894600999869,89364,4,153,152,742,
Java,Standard,6,5,0.07787784699985423,89364,4,153,152,742,
Java,Standard,6,6,0.0984793519996856,89364,4,153,152,742,
Java,Standard,6,7,0.09645262300000468,89364,4,153,152,742,
Java,Standard,6,8,0.09132676500030357,89364,4,153,152,742,
Java,Standard,6,9,0.07859967600006712,89364,4,153,152,742,
Java,Standard,6,10,0.09616548500025601,89364,4,153,152,742,
Java,Standard,7,1,0.07805586199992831,89364,40,552,551,3033,
Java,Standard,7,2,0.07387235000032888,89364,40,552,551,3033,
Java,Standard,7,3,0.07791736899980606,89364,40,552,551,3033,
Java,Standard,7,4,0.10767771600012566,89364,40,552,551,3033,
Java,Standard,7,5,0.10058144799995716,89364,40,552,551,3033,
Java,Standard,7,6,0.07901625299973603,89364,40,552,551,3033,
Java,Standard,7,7,0.0897140600000057,89364,40,552,551,3033,
Java,Standard,7,8,0.08327877700003228,89364,40,552,551,3033,
Java,Standard,7,9,0.104570798000168,89364,40,552,551,3033,
Java,Standard,7,10,0.14296246300000348,89364,40,552,551,3033,
Java,Standard,8,1,0.1246966649996466,89364,92,2057,2056,13664,
Java,Standard,8,2,0.1160135770001034,89364,92,2057,2056,13664,
Java,Standard,8,3,0.10052385299968591,89364,92,2057,2056,13664,
Java,Standard,8,4,0.10126477099993281,89364,92,2057,2056,13664,
Java,Standard,8,5,0.09582181300038428,89364,92,2057,2056,13664,
Java,Standard,8,6,0.0870592240003134,89364,92,2057,2056,13664,
Java,Standard,8,7,0.0955620889999409,89364,92,2057,2056,13664,
Java,Standard,8,8,0.22021846200004802,89364,92,2057,2056,13664,
Java,Standard,8,9,0.12488934600014545,89364,92,2057,2056,13664,
Java,Standard,8,10,0.10823308399994858,89364,92,2057,2056,13664,
Java,Standard,9,1,0.11100074199976007,89364,352,8394,8393,63985,
